time	V(n001)	I(R2)
46057089821e-06	6.855281e-15	0.000
07796750661e-06	6.868429e-15	0.000
71372355316e-06	6.896020e-15	0.000
55017106750e-06	7.003927e-15	0.000
42428162256e-06	7.088175e-15	0.000
96897590062e-06	7.183451e-15	0.000
55999806865e-06	7.295639e-15	0.000
62700653423e-06	7.393248e-15	0.000
13195650430e-06	7.408825e-15	0.000
79833189160e-06	7.420904e-15	0.000
66984073738e-06	7.434844e-15	0.000
47586721190e-06	7.464281e-15	0.000
47758557028e-06	7.577049e-15	0.000
57138228840e-06	7.664777e-15	0.000
84306750723e-06	7.763153e-15	0.000
11952609714e-06	7.879465e-15	0.000
67113939221e-06	7.982829e-15	0.000
31686630357e-06	7.999465e-15	0.000
13046752050e-06	8.012390e-15	0.000
17201645452e-06	8.027218e-15	0.000
39003606411e-06	8.057600e-15	0.000
73312804605e-06	8.174977e-15	0.000
34876257847e-06	8.267103e-15	0.000
18650341172e-06	8.368125e-15	0.000
87800313670e-06	8.489744e-15	0.000
51541830806e-06	8.597612e-15	0.000
21760690025e-06	8.615168e-15	0.000
17174467874e-06	8.628933e-15	0.000
31455337152e-06	8.644743e-15	0.000
35925018934e-06	8.677600e-15	0.000
74697217533e-06	8.801068e-15	0.000
01771982214e-06	8.896150e-15	0.000
36961982963e-06	9.001994e-15	0.000
30258439477e-06	9.127963e-15	0.000
87845073454e-06	9.211946e-15	0.000
46610316229e-06	9.238377e-15	0.000
14815561301e-06	9.256646e-15	0.000
26937894832e-06	9.271249e-15	0.000
44345680123e-06	9.288226e-15	0.000
66078390205e-06	9.326501e-15	0.000
99696834995e-06	9.459279e-15	0.000
78800941921e-06	9.555325e-15	0.000
22838971475e-06	9.669704e-15	0.000
75722589458e-06	9.798623e-15	0.000
30253545149e-06	9.882971e-15	0.000
60340015899e-06	9.907793e-15	0.000
27418019828e-06	9.926293e-15	0.000
98210675950e-06	9.941969e-15	0.000
22966482990e-06	9.960037e-15	0.000
62349414678e-06	9.995955e-15	0.000
75060366363e-06	1.013135e-14	0.000
05546108231e-06	1.023448e-14	0.000
04411295574e-06	1.034904e-14	0.000
17570871357e-06	1.048611e-14	0.000
80512586113e-06	1.057373e-14	0.000
05621914343e-06	1.059953e-14	0.000
78808659354e-06	1.061895e-14	0.000
72358354847e-06	1.063564e-14	0.000
11028086278e-06	1.065484e-14	0.000
42938327938e-06	1.069257e-14	0.000
59364958846e-06	1.083394e-14	0.000
99107034050e-06	1.094108e-14	0.000
09714296099e-06	1.105967e-14	0.000
88761919308e-06	1.120216e-14	0.000
65536868819e-06	1.129240e-14	0.000
65127580081e-06	1.131863e-14	0.000
41011043533e-06	1.133882e-14	0.000
75518082747e-06	1.135668e-14	0.000
32291760422e-06	1.137720e-14	0.000
37085147633e-06	1.141695e-14	0.000
39828636600e-06	1.156512e-14	0.000
90183618791e-06	1.167665e-14	0.000
29840036153e-06	1.179960e-14	0.000
44813228355e-06	1.194831e-14	0.000
10149752354e-06	1.204105e-14	0.000
68674678630e-06	1.206701e-14	0.000
28173906233e-06	1.208753e-14	0.000
71977544180e-06	1.210896e-14	0.000
23877227120e-06	1.213128e-14	0.000
97603952275e-06	1.217471e-14	0.000
71067811005e-06	1.233434e-14	0.000
45673085820e-06	1.245191e-14	0.000
05067373885e-06	1.258159e-14	0.000
39717014039e-06	1.272480e-14	0.000
47343056666e-06	1.281772e-14	0.000
67229573525e-06	1.284318e-14	0.000
11022595493e-06	1.286396e-14	0.000
94581065340e-06	1.288619e-14	0.000
17669622943e-06	1.291555e-14	0.000
95269821186e-06	1.304139e-14	0.000
12497758294e-06	1.313766e-14	0.000
92939867904e-06	1.326696e-14	0.000
16712995850e-06	1.340294e-14	0.000
96448232086e-06	1.350737e-14	0.000
91148009110e-06	1.360239e-14	0.000
51970844134e-06	1.363236e-14	0.000
13931327577e-06	1.365505e-14	0.000
81855157703e-06	1.367886e-14	0.000
10536998251e-06	1.370297e-14	0.000
14209534180e-06	1.375023e-14	0.000
09432480196e-06	1.392104e-14	0.000
81472123639e-06	1.404595e-14	0.000
44065916716e-06	1.418389e-14	0.000
44966663288e-06	1.433806e-14	0.000
70440069908e-06	1.443787e-14	0.000
94329118624e-06	1.446550e-14	0.000
59068569389e-06	1.448842e-14	0.000
54131058810e-06	1.451305e-14	0.000
10721260750e-06	1.454698e-14	0.000
39458922474e-06	1.468566e-14	0.000
41714383211e-06	1.478896e-14	0.000
88868471881e-06	1.492884e-14	0.000
44295204655e-06	1.507396e-14	0.000
17396327148e-06	1.517378e-14	0.000
50269049443e-06	1.527605e-14	0.000
30982590343e-06	1.530882e-14	0.000
02573858673e-06	1.533369e-14	0.000
80948558143e-06	1.535992e-14	0.000
51204964165e-06	1.538678e-14	0.000
49501399846e-06	1.543807e-14	0.000
69642148665e-06	1.562185e-14	0.000
66441432098e-06	1.575547e-14	0.000
39825504520e-06	1.590229e-14	0.000
85207245183e-06	1.605941e-14	0.000
87868429572e-06	1.616632e-14	0.000
43021991063e-06	1.619694e-14	0.000
27696111909e-06	1.622229e-14	0.000
49515410136e-06	1.624946e-14	0.000
70185618700e-06	1.628574e-14	0.000
14498435685e-06	1.643375e-14	0.000
27797509102e-06	1.654351e-14	0.000
66309620601e-06	1.669134e-14	0.000
21481482920e-06	1.684513e-14	0.000
64668174702e-06	1.695315e-14	0.000
77246265261e-06	1.706201e-14	0.000
68470380647e-06	1.709755e-14	0.000
59775073537e-06	1.712483e-14	0.000
53745263132e-06	1.715367e-14	0.000
82230296590e-06	1.718370e-14	0.000
70395043431e-06	1.723920e-14	0.000
19543606656e-06	1.743673e-14	0.000
48439091596e-06	1.757961e-14	0.000
32630638749e-06	1.773552e-14	0.000
86227143444e-06	1.789386e-14	0.000
61329085160e-06	1.800799e-14	0.000
49843045340e-06	1.804187e-14	0.000
53688728062e-06	1.806979e-14	0.000
02855225244e-06	1.809966e-14	0.000
78368277879e-06	1.813815e-14	0.000
38275096756e-06	1.829553e-14	0.000
64321569008e-06	1.841186e-14	0.000
90118139980e-06	1.856759e-14	0.000
43116587905e-06	1.873015e-14	0.000
84508962514e-06	1.884761e-14	0.000
74793897089e-06	1.896318e-14	0.000
75639214378e-06	1.900158e-14	0.000
87056550487e-06	1.903141e-14	0.000
96623764331e-06	1.906299e-14	0.000
84193788890e-06	1.909645e-14	0.000
62381087355e-06	1.915632e-14	0.000
40900894442e-06	1.936810e-14	0.000
02346936860e-06	1.952056e-14	0.000
98496706279e-06	1.968575e-14	0.000
78630493075e-06	1.984500e-14	0.000
28449074053e-06	1.996644e-14	0.000
47659865636e-06	2.000367e-14	0.000
70007642831e-06	2.003428e-14	0.000
