time	V(n001)
4.960757533923313e-01	2.232147e+01
4.960757579890228e-01	2.232147e+01
4.960757621590007e-01	2.232147e+01
4.960757678629180e-01	2.232147e+01
4.960757779050531e-01	2.232147e+01
4.960757831892868e-01	2.232147e+01
4.960757890556052e-01	2.232147e+01
4.960757935966825e-01	2.232147e+01
4.960757977770267e-01	2.232147e+01
4.960758034701605e-01	2.232147e+01
4.960758136018634e-01	2.232147e+01
4.960758189248732e-01	2.232147e+01
4.960758248163235e-01	2.232147e+01
4.960758293192932e-01	2.232147e+01
4.960758335309441e-01	2.232147e+01
4.960758391913101e-01	2.232147e+01
4.960758495880597e-01	2.232147e+01
4.960758550420235e-01	2.232147e+01
4.960758609870056e-01	2.232147e+01
4.960758653761085e-01	2.232147e+01
4.960758696484350e-01	2.232147e+01
4.960758752085592e-01	2.232147e+01
4.960758815242264e-01	2.232147e+01
4.960758865617060e-01	2.232147e+01
4.960758931988072e-01	2.232147e+01
4.960759033213309e-01	2.232147e+01
4.960759079615908e-01	2.232147e+01
4.960759133116877e-01	2.232147e+01
4.960759181781861e-01	2.232147e+01
4.960759231188475e-01	2.232147e+01
4.960759291730720e-01	2.232147e+01
4.960759406384476e-01	2.232147e+01
4.960759458123263e-01	2.232147e+01
4.960759558589343e-01	2.232147e+01
4.960759611143928e-01	2.232147e+01
4.960759670322325e-01	2.232147e+01
4.960759722825395e-01	2.232147e+01
4.960759766925064e-01	2.232147e+01
4.960759825733130e-01	2.232147e+01
4.960759929867067e-01	2.232147e+01
4.960759986124214e-01	2.232147e+01
4.960760046563627e-01	2.232147e+01
4.960760090100607e-01	2.232147e+01
4.960760134111025e-01	2.232147e+01
4.960760189496480e-01	2.232147e+01
4.960760260673742e-01	2.232147e+01
4.960760317802830e-01	2.232147e+01
4.960760382171857e-01	2.232147e+01
4.960760453103424e-01	2.232147e+01
4.960760501745411e-01	2.232147e+01
4.960760563121113e-01	2.232147e+01
4.960760626033676e-01	2.232147e+01
4.960760678848449e-01	2.232147e+01
4.960760743433532e-01	2.232147e+01
4.960760813607366e-01	2.232147e+01
4.960760861700515e-01	2.232147e+01
4.960760924236184e-01	2.232147e+01
4.960760984164588e-01	2.232147e+01
4.960761034245324e-01	2.232147e+01
4.960761100498056e-01	2.232147e+01
4.960761209398367e-01	2.232147e+01
4.960761261328454e-01	2.232147e+01
4.960761316707078e-01	2.232147e+01
4.960761363390651e-01	2.232147e+01
4.960761416456249e-01	2.232147e+01
4.960761476500950e-01	2.232147e+01
4.960761530287275e-01	2.232147e+01
4.960761575486741e-01	2.232147e+01
4.960761635009671e-01	2.232147e+01
4.960761744727871e-01	2.232147e+01
4.960761805293320e-01	2.232147e+01
4.960761910482004e-01	2.232147e+01
4.960761957535308e-01	2.232147e+01
4.960762012588722e-01	2.232147e+01
4.960762063563483e-01	2.232147e+01
4.960762114449401e-01	2.232147e+01
4.960762176585520e-01	2.232147e+01
4.960762248841415e-01	2.232147e+01
4.960762297494373e-01	2.232147e+01
4.960762362176603e-01	2.232147e+01
4.960762420585907e-01	2.232147e+01
4.960762469224975e-01	2.232147e+01
4.960762537523735e-01	2.232147e+01
4.960762643581147e-01	2.232147e+01
4.960762694084197e-01	2.232147e+01
4.960762749776422e-01	2.232147e+01
4.960762797727652e-01	2.232147e+01
4.960762850416073e-01	2.232147e+01
4.960762911327298e-01	2.232147e+01
4.960762972528392e-01	2.232147e+01
4.960763020216400e-01	2.232147e+01
4.960763081317027e-01	2.232147e+01
4.960763144268160e-01	2.232147e+01
4.960763196179507e-01	2.232147e+01
4.960763263514859e-01	2.232147e+01
4.960763330495599e-01	2.232147e+01
4.960763376683154e-01	2.232147e+01
4.960763433404826e-01	2.232147e+01
4.960763538515172e-01	2.232147e+01
4.960763595710261e-01	2.232147e+01
4.960763657511615e-01	2.232147e+01
4.960763702708490e-01	2.232147e+01
4.960763748727113e-01	2.232147e+01
4.960763805789963e-01	2.232147e+01
4.960763873822818e-01	2.232147e+01
4.960763931189500e-01	2.232147e+01
4.960763996393421e-01	2.232147e+01
4.960764072907878e-01	2.232147e+01
4.960764126346738e-01	2.232147e+01
4.960764188239816e-01	2.232147e+01
4.960764254247659e-01	2.232147e+01
4.960764312787218e-01	2.232147e+01
4.960764377020868e-01	2.232147e+01
4.960764432879068e-01	2.232147e+01
4.960764480967955e-01	2.232147e+01
4.960764540331752e-01	2.232147e+01
4.960764615127332e-01	2.232147e+01
4.960764676568822e-01	2.232147e+01
4.960764742086011e-01	2.232147e+01
4.960764802435978e-01	2.232147e+01
4.960764852032829e-01	2.232147e+01
4.960764911903693e-01	2.232147e+01
4.960764977566529e-01	2.232147e+01
4.960765035424358e-01	2.232147e+01
4.960765100155670e-01	2.232147e+01
4.960765163415227e-01	2.232147e+01
4.960765213451991e-01	2.232147e+01
4.960765274356073e-01	2.232147e+01
4.960765348878951e-01	2.232147e+01
4.960765410782127e-01	2.232147e+01
4.960765476472448e-01	2.232147e+01
4.960765533293446e-01	2.232147e+01
4.960765582557933e-01	2.232147e+01
4.960765642112873e-01	2.232147e+01
4.960765706155176e-01	2.232147e+01
4.960765763507131e-01	2.232147e+01
4.960765828409278e-01	2.232147e+01
4.960765893433730e-01	2.232147e+01
4.960765944163699e-01	2.232147e+01
4.960766005717308e-01	2.232147e+01
4.960766080796104e-01	2.232147e+01
4.960766143329913e-01	2.232147e+01
4.960766209359446e-01	2.232147e+01
4.960766264624223e-01	2.232147e+01
4.960766314023752e-01	2.232147e+01
4.960766373569921e-01	2.232147e+01
4.960766435821363e-01	2.232147e+01
4.960766492738581e-01	2.232147e+01
4.960766557728934e-01	2.232147e+01
4.960766623326686e-01	2.232147e+01
4.960766674458737e-01	2.232147e+01
4.960766736486530e-01	2.232147e+01
4.960766812121257e-01	2.232147e+01
4.960766875197979e-01	2.232147e+01
4.960766941604751e-01	2.232147e+01
4.960766995991554e-01	2.232147e+01
4.960767045673408e-01	2.232147e+01
4.960767105335484e-01	2.232147e+01
4.960767165995833e-01	2.232147e+01
4.960767222602591e-01	2.232147e+01
4.960767287684091e-01	2.232147e+01
4.960767353302872e-01	2.232147e+01
4.960767404707442e-01	2.232147e+01
4.960767467116295e-01	2.232147e+01
4.960767543414923e-01	2.232147e+01
4.960767607082777e-01	2.232147e+01
4.960767673879978e-01	2.232147e+01
4.960767727530123e-01	2.232147e+01
4.960767777547801e-01	2.232147e+01
4.960767837354554e-01	2.232147e+01
4.960767896408023e-01	2.232147e+01
4.960767952725642e-01	2.232147e+01
4.960768017886744e-01	2.232147e+01
4.960768083342380e-01	2.232147e+01
4.960768134969722e-01	2.232147e+01
4.960768197735302e-01	2.232147e+01
4.960768274680920e-01	2.232147e+01
4.960768345896832e-01	2.232147e+01
4.960768410132132e-01	2.232147e+01
4.960768460524906e-01	2.232147e+01
4.960768510571812e-01	2.232147e+01
4.960768570093601e-01	2.232147e+01
4.960768626060716e-01	2.232147e+01
4.960768681442123e-01	2.232147e+01
4.960768746539022e-01	2.232147e+01
4.960768813677766e-01	2.232147e+01
4.960768865917932e-01	2.232147e+01
4.960768929428832e-01	2.232147e+01
4.960769006183107e-01	2.232147e+01
4.960769070464441e-01	2.232147e+01
4.960769138055748e-01	2.232147e+01
4.960769190944783e-01	2.232147e+01
4.960769241733616e-01	2.232147e+01
4.960769302001335e-01	2.232147e+01
4.960769358663822e-01	2.232147e+01
4.960769414755574e-01	2.232147e+01
4.960769480170875e-01	2.232147e+01
4.960769544568685e-01	2.232147e+01
4.960769596495996e-01	2.232147e+01
4.960769659812787e-01	2.232147e+01
4.960769738539161e-01	2.232147e+01
4.960769809723384e-01	2.232147e+01
4.960769875432827e-01	2.232147e+01
4.960769925207230e-01	2.232147e+01
4.960769976318959e-01	2.232147e+01
4.960770036330622e-01	2.232147e+01
4.960770088929020e-01	2.232147e+01
4.960770143852727e-01	2.232147e+01
4.960770209034761e-01	2.232147e+01
4.960770274590638e-01	2.232147e+01
4.960770326918064e-01	2.232147e+01
4.960770390984444e-01	2.232147e+01
4.960770468796764e-01	2.232147e+01
4.960770533944225e-01	2.232147e+01
4.960770602372230e-01	2.232147e+01
4.960770655054672e-01	2.232147e+01
4.960770706789802e-01	2.232147e+01
4.960770767628586e-01	2.232147e+01
4.960770821946802e-01	2.232147e+01
4.960770877940137e-01	2.232147e+01
4.960770943597490e-01	2.232147e+01
4.960771006310506e-01	2.232147e+01
4.960771058386761e-01	2.232147e+01
4.960771122146721e-01	2.232147e+01
4.960771193284598e-01	2.232147e+01
4.960771255299083e-01	2.232147e+01
4.960771323497496e-01	2.232147e+01
4.960771380611352e-01	2.232147e+01
4.960771432876790e-01	2.232147e+01
4.960771494966482e-01	2.232147e+01
4.960771554284146e-01	2.232147e+01
4.960771612397262e-01	2.232147e+01
4.960771679033382e-01	2.232147e+01
4.960771738778867e-01	2.232147e+01
4.960771790885103e-01	2.232147e+01
4.960771854106193e-01	2.232147e+01
4.960771920773173e-01	2.232147e+01
4.960771981438773e-01	2.232147e+01
4.960772049330586e-01	2.232147e+01
4.960772107654121e-01	2.232147e+01
4.960772160209668e-01	2.232147e+01
4.960772222979471e-01	2.232147e+01
4.960772284444476e-01	2.232147e+01
4.960772343583544e-01	2.232147e+01
4.960772410848582e-01	2.232147e+01
4.960772469512613e-01	2.232147e+01
4.960772521938375e-01	2.232147e+01
4.960772585147618e-01	2.232147e+01
4.960772649410816e-01	2.232147e+01
4.960772709553782e-01	2.232147e+01
4.960772777413986e-01	2.232147e+01
4.960772835792188e-01	2.232147e+01
